Duomo,Cordusio,550
Cordusio,Cairoli,450
Cairoli,Cadorna,600
Cadorna,Conciliazione,700
Conciliazione,Wagner,900
Wagner,De Angeli,800
De Angeli,Gambara,750
Termini,Repubblica,600
Repubblica,Barberini,700
Barberini,Spagna,800
Spagna,Flaminio,750
Flaminio,Lepanto,1200
Lepanto,Ottaviano,900
Ottaviano,Cipro,850
Garibaldi,Universita,1000
Universita,Toledo,800
Toledo,Municipio,700
Municipio,Dante,900
Dante,Museo,850
Museo,Materdei,950
Brignole,De Ferrari,850
De Ferrari,San Giorgio,700
San Giorgio,Darsena,600
Darsena,Principe,1200
Principe,Di Negro,800
Porta Nuova,Re Umberto,650
Re Umberto,Vinzaglio,700
Vinzaglio,XVIII Dicembre,550
XVIII Dicembre,Principi dAcaja,800
Principi dAcaja,Rivoli,900
Santa Maria Novella,Unita,500
Unita,Valfonda,450
Valfonda,Fortezza,700
Fortezza,Statuto,850
Statuto,Leopolda,1000
